"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\PC\Desktop\charm-tg-bot\src\bot.ts", "TypeScript", 100, 3, 20, 123
"c:\Users\PC\Desktop\charm-tg-bot\src\config\app.ts", "TypeScript", 17, 0, 4, 21
"c:\Users\PC\Desktop\charm-tg-bot\src\config\database.ts", "TypeScript", 4, 4, 3, 11
"c:\Users\PC\Desktop\charm-tg-bot\src\constsants\buttons.ts", "TypeScript", 12, 0, 3, 15
"c:\Users\PC\Desktop\charm-tg-bot\src\middlewares\redis.ts", "TypeScript", 9, 0, 4, 13
"c:\Users\PC\Desktop\charm-tg-bot\src\middlewares\upsertUser.ts", "TypeScript", 12, 0, 2, 14
"c:\Users\PC\Desktop\charm-tg-bot\src\myContext\myContext.ts", "TypeScript", 30, 0, 8, 38
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\allArtistsScene\allArtistsScene-admin.ts", "TypeScript", 57, 0, 13, 70
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\allArtistsScene\allArtistsSceneConfig-admin.ts", "TypeScript", 71, 0, 11, 82
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\allArtistsScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\artistScene\artistScene.ts", "TypeScript", 46, 0, 19, 65
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\artistScene\artistSceneConfig.ts", "TypeScript", 7, 0, 3, 10
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\artistScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\artistsScene\artistsScene-admin.ts", "TypeScript", 47, 0, 13, 60
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\artistsScene\artistsSceneConfig-admin.ts", "TypeScript", 17, 0, 3, 20
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\artistsScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\closeOrderScene\closeOrderScene-admin.ts", "TypeScript", 39, 0, 12, 51
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\closeOrderScene\closeOrderSceneConfig-admin.ts", "TypeScript", 7, 0, 3, 10
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\closeOrderScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\createPromocodeScene\createPromocodeScene-admin.ts", "TypeScript", 111, 0, 13, 124
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\createPromocodeScene\createPromocodeSceneConfig-admin.ts", "TypeScript", 7, 0, 3, 10
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\createPromocodeScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\heroScene\heroScene-admin.ts", "TypeScript", 47, 5, 16, 68
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\heroScene\heroSceneConfig-admin.ts", "TypeScript", 12, 0, 2, 14
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\heroScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\hireScene\hireArtistScene.ts", "TypeScript", 34, 0, 14, 48
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\hireScene\hireArtistSceneConfig.ts", "TypeScript", 11, 0, 3, 14
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\hireScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\promocodeScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\promocodeScene\promocodeScene.ts", "TypeScript", 33, 0, 12, 45
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\promocodeScene\promocodeSceneConfig.ts", "TypeScript", 5, 1, 2, 8
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\promocodesScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\promocodesScene\promocodesScene-admin.ts", "TypeScript", 48, 0, 13, 61
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\promocodesScene\promocodesSceneConfig-admin.ts", "TypeScript", 75, 0, 12, 87
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\transferOrderToArtistScene\index.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\transferOrderToArtistScene\transferOrderToArtistScene-admin.ts", "TypeScript", 47, 0, 14, 61
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\admin\transferOrderToArtistScene\transferOrderToArtistSceneConfig-admin.ts", "TypeScript", 7, 0, 3, 10
"c:\Users\PC\Desktop\charm-tg-bot\src\scenes\artist\getMyOrdersScene\getMyOrdersScene-artist.ts", "TypeScript", 51, 0, 18, 69
